sets,result,averaging,vol_cors,open_cors,vol_avg1,vol_std1,vol_avg2,vol_std2,open_avg1,open_std1,open_avg2,open_avg2
"['DLTR', 'NTRS']",36.56,7.13,0.561867724,0.928335188,2159932.592,2686321.216,686019.0633,1305146.841,23.29115363,71.31400678,20.11722965,72.54433848
"['FIS', 'UNP']",43.28,22.24,0.516963605,0.98016907,1877912.939,2013405.125,2051514.73,4338427.255,36.33356511,75.02512911,42.88058272,107.1575466
"['ISRG', 'EXPE']",20.76,29.26,0.526133989,0.76308729,835885.8078,1022966.349,2020634.828,2538079.698,181.384387,291.9815563,32.61928841,92.92077474
"['FRT', 'MRK']",-37.15,-32.4,0.561715149,0.651855017,386174.6561,463928.5658,6163608.772,11824270.96,22.46473838,117.8530275,15.20588902,58.28496225
"['PAYC', 'MCHP']",45.27,28.42,0.518971988,0.952427924,560530.0176,631271.1584,1685198.501,2410585.697,104.39935,117.78483,25.82657102,61.4798133
"['ABC', 'TT']",8.48,36.18,0.707704775,0.837360268,1173929.766,1953559.356,2483537.528,3164092.438,22.39437397,74.94657927,27.47456251,57.37660314
"['LEG', 'ANET']",18.35,28.55,0.470939487,0.91761121,757809.7718,1215369.686,678974.1789,810480.7971,9.844113275,37.84199442,82.99314244,163.627184
"['AAPL', 'SCHW']",68.4,64.73,0.672120608,0.809491606,200298228.3,255311632.6,5382871.504,9340043.186,24.43861976,36.21531005,12.61269347,31.34673421
"['XRX', 'CARR']",-4.01,-4.1,0.483881915,0.05816432,2074367.645,3490050.525,7735052.649,7626213.5,5.386954244,26.95793252,8.172168932,26.96824996
"['TDY', 'MRK']",32.14,7.54,0.544731378,0.949246268,198544.234,180047.5169,6163608.772,11824270.96,94.64197798,145.6191617,15.20588902,58.28496225
"['TJX', 'HBAN']",11.33,3.68,0.628789638,0.883182983,4110893.875,8149432.976,5987943.052,11124656.02,13.52847144,35.55401967,3.08417538,10.38894319
"['DISCA', 'MDLZ']",0.7,21.86,0.53951702,0.32242106,2093228.266,3732883.275,4517304.363,8798440.127,6.713719318,28.9070342,7.802963268,41.1867342
